"","Scope 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scope 2","","","","","","","","","","","","","","Scope 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Agriculture Sources","","","","","","","","","","Direct Transportation Sources","","","","","","","","","","Cogeneration","","","","","","","","","","","","","","","","On-Campus Stationary Sources","","","","","","","","","","","","","","","","Refrigerants & Chemicals","","","","","","Electricity, Steam, and Chilled Water","","","","Renewable Energy","","","","","","","","","","Commuting","","","","","","","","","","","","","","","","","","","","","Directly Financed Outsourced Travel","","","","","","","","","","","Paper","","","","","","","","","","","","","Solid Waste","","","","","","Student Travel to/from Home","","","","","Study Abroad","Wastewater","","","","","Electricity, Steam, and Chilled Water"
"","Animal Husbandry","","","","","","","","Fertilizer","","University Fleet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Purchased","","","","","Sold","","","","","Faculty Commuting","","","","","","","Staff Commuting","","","","","","","Student Commuting","","","","","","","Air","","Ground","","","","","","","","","","","","","","","","","","","","","","Incinerated Waste","","Landfilled Waste","","","","","","","","","","Central Treatment System","","","","",""
"Fiscal Year","Beef Cows","Dairy Cows","Goats","Horses","Other","Poultry","Sheep","Swine","Organic","Synthetic","B100","B20 Fleet","B5 Fleet","Diesel Fleet","E85 Fleet","Gasoline Fleet","Hydrogen","Natural Gas Fleet","Other (Gaseous/solid fuels)","Other (Liquid fuels)","Coal (Steam Coal)","Distillate BioHeat","Distillate Oil (#1-4)","Ethanol","Grass Pellets","Incinerated Waste","LPG (Propane)","Natural Gas","Other","Residual BioHeat","Residual Oil (#5-6)","Solar - Electric","Solar - Thermal","Wind","Wood Chips","Wood Pellets","Coal (Steam Coal)","Distillate BioHeat","Distillate Oil (#1-4)","Ethanol","Grass Pellets","Incinerated Waste","LPG (Propane)","Natural Gas","Other","Residual BioHeat","Residual Oil (#5-6)","Solar - Electric","Solar - Thermal","Wind","Wood Chips","Wood Pellets","HCFC-22","HCFE-235da2","HFC-134a","HG-10","Other","R-404a","Chilled Water","Electricity","Other","Steam","Biogas","Hydro","Other","Solar","Wind","Biogas","Hydro","Other","Solar","Wind","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Faculty / Staff","Students","Alternative Fuel Bus","Charter Bus - CNG","Charter Bus - Diesel","Charter Bus - Other","Personal Mileage Reimbursement","Public Bus","Taxi / Ferry / Rental Car","Train","Other","Coated Freesheet","Coated Groundwood","Corrugated Bleached","Corrugated Semibleached","Corrugated Unbleached","Paperboard Coated Recycled","Paperboard CUK","Paperboard SBS","Paperboard Uncoated Bleached Kraft","Paperboard Uncoated Unbleached Kraft","Supercalendered","Uncoated Freesheet","Uncoated Groundwood","Mass Burn","Refuse Derived Fuel (RDF)","CH4 Recovery and Electric Generation","CH4 Recovery and Flaring","No CH4 Recovery","Other","Air Travel","Automobile","Carpool","Public Bus","Train","Air Travel","Aerobic","Anaerobic","Anaerobic Digestion","Other","Septic System","T&D Losses"
"","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N","kg Total_N"
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
